team,score0,score1,score2,score3,score4,score5,score6,score7,score8,avg,end_game0,end_game1,end_game2,end_game3,end_game4,end_game5,end_game6,end_game7,end_game8,avg,auto_movement0,auto_movement1,auto_movement2,auto_movement3,auto_movement4,auto_movement5,auto_movement6,auto_movement7,auto_movement8,avg,rank,
5413,121,122,156,131,182,196,187,124,145,151.55555555555554,25,25,25,25,25,25,25,25,25,25.0,1,1,1,1,1,1,1,1,1,1.0,1,
340,96,121,128,131,125,129,127,150,124,125.66666666666667,0,0,25,0,5,25,0,25,5,9.444444444444445,1,1,1,1,1,1,1,1,1,1.0,2,
1787,79,121,91,97,139,196,136,155,168,131.33333333333334,5,5,25,25,25,25,25,0,25,17.77777777777778,1,1,1,1,1,1,1,1,1,1.0,3,
4028,79,104,128,135,132,87,151,124,109,116.55555555555556,0,5,5,25,0,0,25,25,25,12.222222222222221,1,1,1,1,1,0,1,1,1,0.8888888888888888,4,
554,143,131,82,89,133,87,85,67,94,101.22222222222223,25,25,25,0,25,5,0,0,25,14.444444444444445,1,1,1,1,1,1,1,0,1,0.8888888888888888,5,
117,121,142,111,118,127,175,136,77,89,121.77777777777777,5,0,25,25,25,25,0,5,25,15.0,1,0,0,1,1,1,1,1,1,0.7777777777777778,6,
4611,66,131,119,61,182,129,140,165,168,129.0,5,25,5,5,5,25,25,25,25,16.11111111111111,1,1,1,1,1,1,1,1,1,1.0,7,
128,134,104,156,118,133,52,191,107,69,118.22222222222223,25,0,25,25,25,5,25,25,0,17.22222222222222,1,1,1,1,1,0,1,1,1,0.8888888888888888,8,
2252,134,112,125,104,139,176,156,44,144,126.0,25,25,25,0,25,25,25,5,25,20.0,1,1,1,1,1,1,1,0,1,0.8888888888888888,9,
5492,68,129,125,80,100,90,191,122,248,128.11111111111111,5,0,0,5,0,5,25,5,25,7.777777777777778,1,1,1,1,1,1,1,1,1,1.0,10,
3814,97,86,119,116,159,121,92,148,145,120.33333333333333,25,25,25,5,0,25,25,25,25,20.0,1,1,1,1,1,1,1,1,1,1.0,11,
1507,110,126,112,80,127,116,151,148,144,123.77777777777777,5,5,25,5,5,25,25,5,25,13.88888888888889,1,1,1,1,1,1,1,1,1,1.0,12,
1736,143,79,120,86,161,138,154,150,222,139.22222222222223,25,0,25,25,25,25,25,25,5,20.0,1,1,1,1,1,1,1,1,1,1.0,13,
2783,134,126,86,94,90,98,140,87,248,122.55555555555556,25,5,5,25,25,25,25,25,25,20.555555555555557,1,1,1,1,1,1,1,1,1,1.0,14,
677,121,86,82,97,90,133,78,122,83,99.11111111111111,0,25,0,0,5,5,5,25,5,7.777777777777778,1,1,1,1,1,1,1,1,1,1.0,15,
3266,96,142,91,135,100,69,98,155,139,113.88888888888889,25,25,0,25,5,5,25,5,0,12.777777777777779,1,1,1,1,1,1,1,1,1,1.0,16,
5811,66,33,173,104,110,98,136,67,144,103.44444444444444,5,5,25,5,25,5,0,5,5,8.88888888888889,1,1,1,1,1,1,1,1,1,1.0,17,
2081,121,42,111,27,90,176,191,37,131,102.88888888888889,25,5,25,5,5,25,25,0,5,13.333333333333334,1,1,1,1,1,1,1,1,1,1.0,18,
4027,66,126,149,97,97,90,187,90,222,124.88888888888889,5,0,0,0,25,25,0,0,5,6.666666666666667,1,1,1,1,1,1,1,1,1,1.0,19,
6181,108,74,76,97,159,104,154,44,81,99.66666666666667,5,0,0,0,25,25,5,0,5,7.222222222222222,1,1,1,1,1,1,1,1,1,1.0,20,
7515,101,30,111,94,28,52,151,88,145,88.88888888888889,5,5,0,5,0,0,0,5,25,5.0,1,0,1,1,1,0,1,1,1,0.7777777777777778,21,
1317,68,76,173,63,75,175,66,87,222,111.66666666666667,5,5,0,5,5,5,5,0,0,3.3333333333333335,1,1,1,1,1,1,1,0,1,0.8888888888888888,22,
3193,121,74,75,57,75,98,187,94,109,98.88888888888889,5,5,0,5,5,5,0,25,0,5.555555555555555,1,1,1,1,1,1,1,1,1,1.0,23,
1559,69,129,173,97,132,176,100,106,139,124.55555555555556,5,25,25,5,5,25,5,25,25,16.11111111111111,1,1,1,1,1,1,1,1,1,1.0,24,
6032,79,33,149,131,161,121,86,37,72,96.55555555555556,5,5,25,0,25,25,25,5,0,12.777777777777779,1,1,1,1,1,1,1,1,1,1.0,25,
7434,74,42,33,80,97,87,98,114,87,79.11111111111111,0,0,0,5,0,0,0,5,5,1.6666666666666667,0,0,1,1,0,0,0,1,1,0.4444444444444444,26,
5667,134,48,82,65,125,116,86,155,106,101.88888888888889,25,5,5,0,5,0,0,0,0,4.444444444444445,1,1,0,1,1,1,1,1,1,0.8888888888888888,27,
1511,121,84,76,104,132,133,66,165,78,106.55555555555556,25,0,0,25,25,25,5,25,25,17.22222222222222,1,0,1,0,1,0,1,1,1,0.6666666666666666,28,
4467,99,131,125,116,30,104,98,77,124,100.44444444444444,5,5,0,5,0,5,25,25,25,10.555555555555555,1,1,1,1,1,1,1,1,1,1.0,29,
329,99,76,86,104,125,121,154,88,55,100.88888888888889,5,0,5,25,5,0,25,5,5,8.333333333333334,1,1,1,1,1,1,1,1,1,1.0,30,
695,97,112,75,65,161,43,92,77,168,98.88888888888889,5,0,0,5,5,0,0,0,25,4.444444444444445,1,1,1,1,1,1,1,1,1,1.0,31,
3324,99,142,132,94,75,37,127,107,81,99.33333333333333,25,25,25,25,5,5,25,25,0,17.77777777777778,1,1,1,1,1,1,1,1,1,1.0,32,
2603,74,84,112,116,100,96,156,90,106,103.77777777777777,5,5,25,5,25,25,25,5,25,16.11111111111111,0,1,1,1,1,1,1,1,1,0.8888888888888888,33,
4521,66,79,76,89,64,64,140,57,109,82.66666666666667,5,0,5,0,5,5,0,5,0,2.7777777777777777,1,1,1,1,1,1,1,1,1,1.0,34,
706,68,74,56,86,55,129,86,77,94,80.55555555555556,5,5,5,0,0,25,0,5,25,7.777777777777778,1,1,1,1,1,1,1,1,1,1.0,35,
8289,134,112,86,63,55,57,74,67,131,86.55555555555556,0,5,0,5,5,5,5,0,25,5.555555555555555,1,1,1,1,1,0,0,0,0,0.5555555555555556,36,
3777,50,86,112,97,63,37,85,94,248,96.88888888888889,5,25,0,0,5,5,25,25,25,12.777777777777779,1,1,1,1,1,1,1,1,1,1.0,37,
4991,101,55,156,61,63,96,103,44,89,85.33333333333333,5,5,25,5,25,5,25,0,25,13.333333333333334,1,1,1,1,1,1,1,0,1,0.8888888888888888,38,
4085,108,121,53,135,79,85,74,87,69,90.11111111111111,5,25,5,25,25,5,5,5,25,13.88888888888889,1,1,1,1,1,1,1,1,1,1.0,39,
4145,96,129,132,52,28,116,103,77,83,90.66666666666667,5,25,5,5,5,5,0,5,5,6.666666666666667,1,1,1,1,1,1,1,1,1,1.0,40,
144,101,48,120,104,133,57,132,37,87,91.0,0,5,0,0,0,0,5,0,5,1.6666666666666667,1,1,1,1,1,1,1,1,1,1.0,41,
379,69,102,132,86,159,69,92,57,110,97.33333333333333,0,25,25,0,0,5,0,5,5,7.222222222222222,1,1,1,1,1,1,1,1,1,1.0,42,
4269,66,66,53,86,127,196,78,88,72,92.44444444444444,0,25,5,5,5,25,0,0,0,7.222222222222222,0,1,1,1,1,1,1,1,1,0.8888888888888888,43,
3201,50,102,149,65,51,52,103,114,131,90.77777777777777,5,25,25,5,5,5,0,5,25,11.11111111111111,0,1,1,1,1,1,1,1,1,0.8888888888888888,44,
4284,74,104,120,27,139,90,54,43,78,81.0,5,0,0,5,0,5,5,5,5,3.3333333333333335,0,1,1,1,1,1,1,1,1,0.8888888888888888,45,
3504,108,30,69,89,97,175,132,106,110,101.77777777777777,5,0,5,0,5,5,5,0,5,3.3333333333333335,1,1,1,1,1,1,1,1,1,1.0,46,
279,62,33,53,118,64,96,132,94,139,87.88888888888889,25,0,5,25,25,5,25,25,25,17.77777777777778,1,1,1,1,1,1,1,1,1,1.0,47,
3138,110,76,91,61,51,85,92,107,106,86.55555555555556,0,5,25,5,0,5,5,25,5,8.333333333333334,0,1,1,1,1,1,1,1,1,0.8888888888888888,48,
6936,84,55,33,52,64,69,92,124,78,72.33333333333333,0,0,0,0,0,0,25,25,0,5.555555555555555,1,1,1,1,1,1,1,1,1,1.0,49,
6927,84,102,69,27,30,43,66,150,87,73.11111111111111,5,5,5,5,0,5,5,0,5,3.888888888888889,1,1,1,0,1,1,1,1,1,0.8888888888888888,50,
325,143,30,33,94,55,43,100,148,124,85.55555555555556,5,5,0,5,5,5,0,0,5,3.3333333333333335,0,0,1,1,1,1,1,1,1,0.7777777777777778,51,
6834,62,66,91,52,79,133,156,106,89,92.66666666666667,5,5,5,0,5,25,25,5,5,8.88888888888889,0,1,1,1,1,0,1,1,1,0.7777777777777778,52,
7460,110,122,75,104,79,104,127,122,72,101.66666666666667,5,0,5,25,5,25,5,25,5,11.11111111111111,1,1,1,1,1,1,1,1,1,1.0,53,
4283,66,122,56,94,110,138,100,43,69,88.66666666666667,0,0,5,0,0,0,0,5,5,1.6666666666666667,1,1,1,1,1,1,1,1,1,1.0,54,
8027,84,48,56,63,63,64,54,114,110,72.88888888888889,5,5,5,5,5,5,0,5,5,4.444444444444445,1,1,1,1,1,1,1,1,1,1.0,55,
1014,97,84,91,57,110,37,54,57,94,75.66666666666667,5,0,0,5,25,0,25,5,5,7.777777777777778,0,0,1,1,1,1,1,1,1,0.7777777777777778,56,
7486,134,42,119,86,51,57,85,43,83,77.77777777777777,0,5,5,5,0,5,0,5,5,3.3333333333333335,1,1,1,1,1,1,1,1,1,1.0,57,
1038,62,55,128,86,30,64,74,77,81,73.0,25,0,5,5,0,5,5,0,5,5.555555555555555,1,1,1,1,1,1,1,1,1,1.0,58,
